Sample_ID,Plant_ID,Treated pots,dayTreatment,Dpi,Replicate,sol.sugar nmol/mg,aa µmol/mg,flav µg/mg,phe µg/mg,Chla μg/mg,Chlb μg/mg,Caro μg/mg,pisatin µg/mg,Salicylic acid
1,1,PC,0PC,0,1,"56,16","56,73","7,66","16,49","3,61","1,33","1,42","2,16","33,53"
2,1,PC,2PC,2,1,"51,87","73,45","17,79","18,49","3,96","1,54","1,39","3,17","30,93"
3,1,PC,4PC,4,1,"74,92","57,63","23,86","15,65","3,17","1,40","1,22","2,24","38,25"
4,1,PC,6PC,6,1,"75,05","55,59","20,66","18,09","3,71","1,42","1,24","1,96","37,69"
5,1,PC,10PC,10,1,"70,83","53,10","20,15","15,81","3,15","1,40","1,23","1,88","45,29"
6,1,PC,14PC,14,1,"69,02","38,35","17,15","15,94","3,45","1,41","1,24","1,04","37,35"
7,2,MC,0MC,0,1,"73,44","46,01","13,08","18,91","4,35","1,30","1,41","1,43","47,72"
8,2,MC,2MC,2,1,"103,72","62,72","12,60","19,37","3,43","1,36","1,37","2,75","61,12"
9,2,MC,4MC,4,1,"109,09","53,03","12,56","18,51","2,27","1,30","1,29","1,88","64,40"
10,2,MC,6MC,6,1,"95,15","58,65","22,69","19,63","2,44","1,34","1,29","2,27","56,17"
11,2,MC,10MC,10,1,"84,90","50,42","21,96","18,55","2,57","1,34","1,27","2,16","49,80"
12,2,MC,14MC,14,1,"77,47","45,25","23,48","20,12","2,37","1,36","1,29","1,48","46,81"
13,3,PI,0PI,0,1,"68,22","61,33","18,96","21,77","3,80","1,29","1,36","2,46","44,34"
14,3,PI,2PI,2,1,"81,21","54,30","32,93","20,69","3,43","1,22","1,33","3,53","71,49"
15,3,PI,4PI,4,1,"99,84","68,73","45,33","28,73","2,44","1,22","1,42","4,59","81,07"
16,3,PI,6PI,6,1,"110,82","71,67","44,16","31,27","2,92","1,40","1,48","7,79","85,01"
17,3,PI,10PI,10,1,"106,61","70,72","54,28","29,10","1,95","1,39","1,45","7,79","70,76"
18,3,PI,14PI,14,1,"93,94","64,00","66,64","28,69","1,83","1,18","1,43","7,42","64,61"
19,4,MI,0MI,0,1,"71,03","67,45","4,95","20,12","4,36","1,32","1,45","2,58","45,69"
20,4,MI,2MI,2,1,"61,92","81,11","21,63","22,89","3,34","1,45","1,26","5,35","80,73"
21,4,MI,4MI,4,1,"85,37","90,95","32,22","24,44","2,64","1,31","1,38","6,16","93,47"
22,4,MI,6MI,6,1,"98,36","80,87","33,09","25,12","2,65","1,33","1,38","5,29","94,25"
23,4,MI,10MI,10,1,"90,53","65,75","28,74","30,53","1,99","1,32","1,42","4,57","92,84"
24,4,MI,14MI,14,1,"71,44","61,33","26,64","29,90","2,27","1,35","1,39","4,26","86,03"
25,5,PC,0PC,0,2,"42,89","57,50","9,47","11,22","4,31","1,29","1,34","1,99","41,19"
26,5,PC,2PC,2,2,"37,00","76,13","16,21","14,53","3,50","1,51","1,34","3,36","38,82"
27,5,PC,4PC,4,2,"57,23","59,55","19,79","11,92","3,54","1,44","1,19","2,16","52,00"
28,5,PC,6PC,6,2,"55,76","52,14","17,72","9,63","3,17","1,39","1,17","1,76","51,66"
29,5,PC,10PC,10,2,"64,80","56,17","15,86","11,41","3,57","1,43","1,18","1,82","48,45"
30,5,PC,14PC,14,2,"52,94","41,41","9,92","12,32","3,08","1,36","1,20","0,81","50,64"
31,6,MC,0MC,0,2,"73,05","60,17","12,63","12,87","3,76","1,28","1,37","1,26","49,30"
32,6,MC,2MC,2,2,"95,68","78,81","12,59","13,88","3,64","1,34","1,35","2,91","64,51"
33,6,MC,4MC,4,2,"104,66","55,71","17,08","16,42","2,58","1,32","1,25","1,93","67,10"
34,6,MC,6MC,6,2,"85,50","64,78","19,98","15,01","2,87","1,33","1,23","2,63","60,90"
35,6,MC,10MC,10,2,"76,06","63,82","18,79","12,07","3,06","1,35","1,23","2,46","55,66"
36,6,MC,14MC,14,2,"64,60","55,20","22,35","14,40","2,97","1,35","1,22","1,93","52,45"
37,7,PI,0PI,0,2,"64,60","65,54","17,15","14,96","3,32","1,34","1,33","2,38","52,00"
38,7,PI,2PI,2,2,"75,59","58,90","29,32","17,83","3,11","1,26","1,30","4,20","76,45"
39,7,PI,4PI,4,2,"96,22","80,22","39,91","23,12","2,06","1,18","1,38","5,32","90,08"
40,7,PI,6PI,6,2,"106,00","79,33","42,35","29,41","2,51","1,33","1,45","8,38","88,39"
41,7,PI,10PI,10,2,"100,17","79,15","52,24","27,46","1,65","1,43","1,43","8,40","75,72"
42,7,PI,14PI,14,2,"87,11","73,20","60,32","26,49","1,69","1,13","1,41","7,79","69,80"
43,8,MI,0MI,0,2,"69,83","78,56","4,04","9,68","3,55","1,33","1,37","3,22","49,75"
44,8,MI,2MI,2,2,"57,90","94,90","24,80","17,72","2,76","1,48","1,32","6,19","86,36"
45,8,MI,4MI,4,2,"80,14","103,21","36,29","23,79","2,44","1,27","1,36","6,64","100,00"
46,8,MI,6MI,6,2,"90,32","98,86","37,83","23,14","2,43","1,39","1,36","6,41","100,11"
47,8,MI,10MI,10,2,"81,69","80,68","31,90","27,13","1,58","1,29","1,46","5,18","97,57"
48,8,MI,14MI,14,2,"75,46","77,41","30,94","25,06","1,79","1,39","1,45","5,07","92,33"
49,9,PC,0PC,0,3,"52,94","56,73","6,76","17,70","4,63","1,31","1,45","2,04","32,40"
50,9,PC,2PC,2,3,"47,45","74,60","18,02","16,07","3,34","1,49","1,40","3,50","29,80"
51,9,PC,4PC,4,3,"67,68","56,48","26,12","14,33","2,90","1,38","1,24","2,10","39,38"
52,9,PC,6PC,6,3,"68,62","51,76","17,04","15,89","3,99","1,44","1,27","2,16","39,04"
53,9,PC,10PC,10,3,"63,19","55,40","15,18","14,38","2,95","1,45","1,22","1,82","44,84"
54,9,PC,14PC,14,3,"49,33","37,58","8,79","15,72","2,94","1,37","1,23","1,20","37,35"
55,10,MC,0MC,0,3,"71,83","63,62","13,99","12,10","3,57","1,31","1,40","1,74","48,18"
56,10,MC,2MC,2,3,"100,10","67,33","11,46","13,88","3,29","1,37","1,37","3,17","61,58"
57,10,MC,4MC,4,3,"107,08","53,42","15,05","17,52","2,78","1,33","1,27","2,10","64,39"
58,10,MC,6MC,6,3,"82,69","67,84","22,92","14,79","3,04","1,35","1,28","2,46","56,62"
