Sample_ID,Plant_ID,Treated pots,dayTreatment,Dpi,Replicate,sol.sugar nmol/mg,aa µmol/mg,flav µg/mg,phe µg/mg,Chla μg/mg,Chlb μg/mg,Caro μg/mg,pisatin µg/mg,Salicylic acid
1.0,1.0,PC,0PC,0,1.0,56.16,56.73,7.66,16.49,3.61,1.33,1.42,2.16,33.53
2.0,1.0,PC,2PC,2,1.0,51.87,73.45,17.79,18.49,3.96,1.54,1.39,3.17,30.93
3.0,1.0,PC,4PC,4,1.0,74.92,57.63,23.86,15.65,3.17,1.4,1.22,2.24,38.25
4.0,1.0,PC,6PC,6,1.0,75.05,55.59,20.66,18.09,3.71,1.42,1.24,1.96,37.69
4.5,1.0,PC,6PC,8,1.0,72.94,54.345,20.405,16.95,3.4299999999999997,1.41,1.2349999999999999,1.92,41.489999999999995
5.0,1.0,PC,10PC,10,1.0,70.83,53.1,20.15,15.81,3.15,1.4,1.23,1.88,45.29
5.5,1.0,PC,10PC,12,1.0,69.925,45.725,18.65,15.875,3.3,1.4049999999999998,1.2349999999999999,1.46,41.32
6.0,1.0,PC,14PC,14,1.0,69.02,38.35,17.15,15.94,3.45,1.41,1.24,1.04,37.35
7.0,2.0,MC,0MC,0,1.0,73.44,46.01,13.08,18.91,4.35,1.3,1.41,1.43,47.72
8.0,2.0,MC,2MC,2,1.0,103.72,62.72,12.6,19.37,3.43,1.36,1.37,2.75,61.12
9.0,2.0,MC,4MC,4,1.0,109.09,53.03,12.56,18.51,2.27,1.3,1.29,1.88,64.4
10.0,2.0,MC,6MC,6,1.0,95.15,58.65,22.69,19.63,2.44,1.34,1.29,2.27,56.17
10.5,2.0,MC,6MC,8,1.0,90.025,54.535,22.325000000000003,19.09,2.505,1.34,1.28,2.215,52.985
11.0,2.0,MC,10MC,10,1.0,84.9,50.42,21.96,18.55,2.57,1.34,1.27,2.16,49.8
11.5,2.0,MC,10MC,12,1.0,81.185,47.835,22.72,19.335,2.4699999999999998,1.35,1.28,1.82,48.305
12.0,2.0,MC,14MC,14,1.0,77.47,45.25,23.48,20.12,2.37,1.36,1.29,1.48,46.81
13.0,3.0,PI,0PI,0,1.0,68.22,61.33,18.96,21.77,3.8,1.29,1.36,2.46,44.34
14.0,3.0,PI,2PI,2,1.0,81.21,54.3,32.93,20.69,3.43,1.22,1.33,3.53,71.49
15.0,3.0,PI,4PI,4,1.0,99.84,68.73,45.33,28.73,2.44,1.22,1.42,4.59,81.07
16.0,3.0,PI,6PI,6,1.0,110.82,71.67,44.16,31.27,2.92,1.4,1.48,7.79,85.01
16.5,3.0,PI,6PI,8,1.0,108.715,71.195,49.22,30.185000000000002,2.435,1.395,1.4649999999999999,7.79,77.885
17.0,3.0,PI,10PI,10,1.0,106.61,70.72,54.28,29.1,1.95,1.39,1.45,7.79,70.76
17.5,3.0,PI,10PI,12,1.0,100.275,67.36,60.46,28.895000000000003,1.8900000000000001,1.285,1.44,7.605,67.685
18.0,3.0,PI,14PI,14,1.0,93.94,64.0,66.64,28.69,1.83,1.18,1.43,7.42,64.61
19.0,4.0,MI,0MI,0,1.0,71.03,67.45,4.95,20.12,4.36,1.32,1.45,2.58,45.69
20.0,4.0,MI,2MI,2,1.0,61.92,81.11,21.63,22.89,3.34,1.45,1.26,5.35,80.73
21.0,4.0,MI,4MI,4,1.0,85.37,90.95,32.22,24.44,2.64,1.31,1.38,6.16,93.47
22.0,4.0,MI,6MI,6,1.0,98.36,80.87,33.09,25.12,2.65,1.33,1.38,5.29,94.25
22.5,4.0,MI,6MI,8,1.0,94.445,73.31,30.915,27.825000000000003,2.32,1.3250000000000002,1.4,4.93,93.545
23.0,4.0,MI,10MI,10,1.0,90.53,65.75,28.74,30.53,1.99,1.32,1.42,4.57,92.84
23.5,4.0,MI,10MI,12,1.0,80.985,63.54,27.689999999999998,30.215,2.13,1.335,1.4049999999999998,4.415,89.435
24.0,4.0,MI,14MI,14,1.0,71.44,61.33,26.64,29.9,2.27,1.35,1.39,4.26,86.03
25.0,5.0,PC,0PC,0,2.0,42.89,57.5,9.47,11.22,4.31,1.29,1.34,1.99,41.19
26.0,5.0,PC,2PC,2,2.0,37.0,76.13,16.21,14.53,3.5,1.51,1.34,3.36,38.82
27.0,5.0,PC,4PC,4,2.0,57.23,59.55,19.79,11.92,3.54,1.44,1.19,2.16,52.0
28.0,5.0,PC,6PC,6,2.0,55.76,52.14,17.72,9.63,3.17,1.39,1.17,1.76,51.66
28.5,5.0,PC,6PC,8,2.0,60.28,54.155,16.79,10.52,3.37,1.41,1.1749999999999998,1.79,50.055
29.0,5.0,PC,10PC,10,2.0,64.8,56.17,15.86,11.41,3.57,1.43,1.18,1.82,48.45
29.5,5.0,PC,10PC,12,2.0,58.87,48.79,12.89,11.865,3.325,1.395,1.19,1.315,49.545
30.0,5.0,PC,14PC,14,2.0,52.94,41.41,9.92,12.32,3.08,1.36,1.2,0.81,50.64
31.0,6.0,MC,0MC,0,2.0,73.05,60.17,12.63,12.87,3.76,1.28,1.37,1.26,49.3
32.0,6.0,MC,2MC,2,2.0,95.68,78.81,12.59,13.88,3.64,1.34,1.35,2.91,64.51
33.0,6.0,MC,4MC,4,2.0,104.66,55.71,17.08,16.42,2.58,1.32,1.25,1.93,67.1
34.0,6.0,MC,6MC,6,2.0,85.5,64.78,19.98,15.01,2.87,1.33,1.23,2.63,60.9
34.5,6.0,MC,6MC,8,2.0,80.78,64.3,19.384999999999998,13.54,2.965,1.34,1.23,2.545,58.28
35.0,6.0,MC,10MC,10,2.0,76.06,63.82,18.79,12.07,3.06,1.35,1.23,2.46,55.66
35.5,6.0,MC,10MC,12,2.0,70.33,59.510000000000005,20.57,13.235,3.015,1.35,1.225,2.195,54.055
36.0,6.0,MC,14MC,14,2.0,64.6,55.2,22.35,14.4,2.97,1.35,1.22,1.93,52.45
37.0,7.0,PI,0PI,0,2.0,64.6,65.54,17.15,14.96,3.32,1.34,1.33,2.38,52.0
38.0,7.0,PI,2PI,2,2.0,75.59,58.9,29.32,17.83,3.11,1.26,1.3,4.2,76.45
39.0,7.0,PI,4PI,4,2.0,96.22,80.22,39.91,23.12,2.06,1.18,1.38,5.32,90.08
40.0,7.0,PI,6PI,6,2.0,106.0,79.33,42.35,29.41,2.51,1.33,1.45,8.38,88.39
40.5,7.0,PI,6PI,8,2.0,103.08500000000001,79.24000000000001,47.295,28.435000000000002,2.08,1.38,1.44,8.39,82.055
41.0,7.0,PI,10PI,10,2.0,100.17,79.15,52.24,27.46,1.65,1.43,1.43,8.4,75.72
41.5,7.0,PI,10PI,12,2.0,93.64,76.17500000000001,56.28,26.975,1.67,1.2799999999999998,1.42,8.095,72.75999999999999
42.0,7.0,PI,14PI,14,2.0,87.11,73.2,60.32,26.49,1.69,1.13,1.41,7.79,69.8
43.0,8.0,MI,0MI,0,2.0,69.83,78.56,4.04,9.68,3.55,1.33,1.37,3.22,49.75
44.0,8.0,MI,2MI,2,2.0,57.9,94.9,24.8,17.72,2.76,1.48,1.32,6.19,86.36
45.0,8.0,MI,4MI,4,2.0,80.14,103.21,36.29,23.79,2.44,1.27,1.36,6.64,100.0
46.0,8.0,MI,6MI,6,2.0,90.32,98.86,37.83,23.14,2.43,1.39,1.36,6.41,100.11
46.5,8.0,MI,6MI,8,2.0,86.005,89.77000000000001,34.864999999999995,25.134999999999998,2.005,1.3399999999999999,1.4100000000000001,5.795,98.84
47.0,8.0,MI,10MI,10,2.0,81.69,80.68,31.9,27.13,1.58,1.29,1.46,5.18,97.57
47.5,8.0,MI,10MI,12,2.0,78.57499999999999,79.045,31.42,26.095,1.685,1.3399999999999999,1.455,5.125,94.94999999999999
48.0,8.0,MI,14MI,14,2.0,75.46,77.41,30.94,25.06,1.79,1.39,1.45,5.07,92.33
49.0,9.0,PC,0PC,0,3.0,52.94,56.73,6.76,17.7,4.63,1.31,1.45,2.04,32.4
50.0,9.0,PC,2PC,2,3.0,47.45,74.6,18.02,16.07,3.34,1.49,1.4,3.5,29.8
51.0,9.0,PC,4PC,4,3.0,67.68,56.48,26.12,14.33,2.9,1.38,1.24,2.1,39.38
52.0,9.0,PC,6PC,6,3.0,68.62,51.76,17.04,15.89,3.99,1.44,1.27,2.16,39.04
52.5,9.0,PC,6PC,8,3.0,65.905,53.58,16.11,15.135000000000002,3.47,1.4449999999999998,1.245,1.9900000000000002,41.94
53.0,9.0,PC,10PC,10,3.0,63.19,55.4,15.18,14.38,2.95,1.45,1.22,1.82,44.84
53.5,9.0,PC,10PC,12,3.0,56.26,46.489999999999995,11.985,15.05,2.9450000000000003,1.4100000000000001,1.225,1.51,41.095
54.0,9.0,PC,14PC,14,3.0,49.33,37.58,8.79,15.72,2.94,1.37,1.23,1.2,37.35
