,0MC_1,0MC_2,0MC_3,2MC_1,2MC_2,2MC_3,4MC_1,4MC_2,4MC_3,6MC_1,6MC_2,6MC_3,10MC_1,10MC_2,10MC_3,14MC_1,14MC_2,14MC_3,0MI_1,0MI_2,0MI_3,2MI_1,2MI_2,2MI_3,4MI_1,4MI_2,4MI_3,6MI_1,6MI_2,6MI_3,10MI_1,10MI_2,10MI_3,14MI_1,14MI_2,14MI_3,0PC_1,0PC_2,0PC_3,2PC_1,2PC_2,2PC_3,4PC_1,4PC_2,4PC_3,6PC_1,6PC_2,6PC_3,10PC_1,10PC_2,10PC_3,14PC_1,14PC_2,14PC_3,0PI_1,0PI_2,0PI_3,2PI_1,2PI_2,2PI_3,4PI_3,4PI_2,4PI_3,6PI_1,6PI_2,6PI_3,10PI_1,10PI_2,10PI_3,14PI_1,14PI_2,14PI_3
ep JA (oxo-phytodienoic acid)_[M+H]+_293.2086_52.21505,1474232.00,1576442.00,1284164.00,5053873.00,4918764.00,709490.70,4482708.00,4119084.00,906193.20,2763648.00,2752296.00,4686599.00,3594432.00,1540689.00,1517795.00,4800360.00,1959320.00,852528.50,961310.20,1055924.00,1065530.00,1186198.00,1117988.00,1177001.00,2074518.00,1286463.00,1135807.00,2397275.00,1605779.00,1900302.00,1019312.00,1201541.00,1964687.00,1289026.00,850681.20,1203820.00,218778.20,1593615.00,5282338.00,191357.00,412000.30,5331608.00,2930798.00,1021325.00,2060481.00,2636542.00,446422.50,3240921.00,2789172.00,1351522.00,1018028.00,2830650.00,1175258.00,1428132.00,891091.80,5346316.00,1402457.00,1154767.00,5933434.00,1129941.00,1145136.00,804679.10,1115809.00,1360242.00,1008460.00,1070519.00,1399935.00,1080282.00,1313856.00,1029811.00,1443146.00,1295519.00
Vanillic acid_[2M+H]+_337.0928_20.49838,751456.90,2311555.00,1006365.00,1267243.00,2154890.00,358196.00,645399.90,2313220.00,22354.19,546382.10,3340284.00,229987.30,23172.05,2473419.00,2939491.00,1402596.00,700108.90,3481335.00,1194058.00,1665692.00,1573011.00,1340395.00,729764.20,897820.30,423182.50,693230.20,792975.30,505065.60,1027499.00,810579.60,1118678.00,722659.50,513133.50,1187734.00,1190532.00,551878.90,23633.72,947377.30,1190554.00,21388.70,1091863.00,1665801.00,719372.50,272750.90,411007.30,954899.60,50642.44,1781415.00,1274100.00,903187.70,2263830.00,1358692.00,2464284.00,22048.00,1477557.00,768474.60,1353888.00,1316007.00,1814070.00,1222585.00,563388.40,306983.60,579264.90,653159.80,872302.40,781970.50,765110.00,1480237.00,1175964.00,857746.80,1217283.00,906979.70
unknown_155.068_18.69884,117233.30,239637.40,168468.50,103073.40,175671.70,139601.20,186867.30,165784.90,144683.00,155074.10,189091.50,201331.60,151226.10,243642.80,163364.50,119729.70,204933.30,159489.70,507511.20,537856.80,635460.00,541334.70,410735.10,428571.40,463970.20,309816.80,273302.10,529951.40,386069.30,198852.90,386274.90,557847.80,374490.60,465246.20,300726.50,173160.80,95514.81,161323.80,140144.20,77326.80,186043.70,164868.10,108906.30,133468.70,173299.80,71791.96,198610.60,136825.20,101312.80,230286.30,116057.70,182680.20,233959.10,150054.00,233037.50,207046.80,319397.70,209183.80,199585.70,277731.50,278379.50,151371.70,236071.80,316015.70,362843.70,391273.60,324378.60,154527.50,158951.60,362649.50,148056.10,171971.10
unknown_269.1113_25.8657,93434.34,168333.70,92688.84,82608.20,210677.70,65946.72,103492.90,88953.30,1412115003.00,101388.50,61207.82,281497.50,138814.60,121644.60,69016.92,42071.08,172053.40,63076.82,1234176.00,762931.40,709669.50,1182220.00,1521816.00,992643.30,766811.90,1303446.00,1391303.00,1081662.00,1273574.00,823188.20,1084751.00,856496.20,755066.10,870221.80,1151197.00,1052366.00,33467.97,203150.00,110341.80,22780.33,238123.50,198405.60,25472.08,49479.91,138454.30,40638.48,118089.80,61583.86,58384.58,323262.00,26889.08,37246.77,145332.30,135552.50,604164.60,138338.30,705032.30,828129.60,193736.70,605062.20,883818.20,535200.40,945951.20,800338.50,1027514.00,802380.20,1089897.00,931931.70,986739.00,892946.50,1239154.00,979320.00
unknown_229.116_18.376,105279.50,143507.00,121977.60,142249.90,163949.60,105684.30,2971758786.00,153846.10,215540.00,94754.78,135107.30,136742.20,166863.40,146703.30,39179.32,111554.70,196932.30,169898.00,2721893.00,3463558.00,2827327.00,2967873.00,551713.10,572310.90,2494521.00,720465.90,523705.50,3105139.00,525633.50,324605.10,1524164.00,459863.80,473850.30,795799.00,910387.40,1031704.00,25670.00,160867.40,153084.40,58287.58,185315.60,184169.90,45408.94,206254.70,154729.40,104663.80,171306.60,134606.30,85900.06,173130.70,133520.50,174289.20,96323.71,241240.40,774441.00,178744.50,723564.40,713892.90,186682.00,1386038.00,1670174.00,183530.50,5661288.00,1725780.00,1504168.00,1356594.00,1005489.00,953803.30,816914.10,1310385.00,619641.00,522843.90
unknown_389.1678_26.55884,142956.80,212088.50,748201.60,136191.50,447289.60,1753598.00,499224.30,530341.50,1398581.00,831522.30,706518.00,44500000.00,879710.40,303143.80,37700000.00,324158.30,1069322.00,76500000.00,204123.20,301705.50,282698.60,309169.70,390736.20,553609.50,260288.80,500291.30,382527.10,241278.50,515587.70,257228.80,509312.50,364019.00,313619.40,387752.80,517656.00,394826.50,23901.60,419735.70,394113.60,167809.20,596291.80,393247.10,1433906506.00,660325.90,725944.20,90682.21,792072.80,21000000.00,222582.50,776944.70,103000000.00,236214.00,289170.00,930916.00,419677.20,701264.30,236715.50,405765.60,591248.80,348327.90,456378.10,1541634.00,511815.10,350667.80,473073.70,442567.50,530448.80,911263.20,721779.90,501853.50,662487.50,665654.80
(+)-Catechin_[M+H]+_291.0892_13.91104,393048.00,1063670.00,659090.60,464757.50,1381555.00,358321.80,485258.40,693846.80,178567.20,613383.90,882998.10,584037.30,248706.50,1422624.00,23052.14,1063253.00,721223.20,1174722.00,697989.50,573479.50,593752.10,864615.80,668477.10,543707.20,791434.80,678516.10,604819.10,711183.70,620602.10,426487.50,765176.80,704396.20,450692.30,719064.00,476303.70,378672.10,486455.80,591004.20,2157196.00,164107.00,614589.30,533819.40,729598.20,271055.90,391876.40,1013531.00,175025.20,728969.10,139058.00,2002099794.00,1268337.00,499464.10,1234084.00,229069.70,663323.30,2091366.00,628119.10,581624.70,2209865.00,558766.30,558407.10,210957.90,485798.20,855084.30,876985.00,613199.40,600193.40,514975.00,542014.60,508020.30,583886.10,494079.80
hydroxycinnamic acid_[2M+H]+_329.1006_18.10109,99607.10,178600.00,93942.37,167649.60,157194.60,25379.97,23146.15,24836.14,7943817813.00,25196.07,74066.15,71212.99,108387.20,142446.10,148797.80,147960.70,161602.00,191291.30,394027.40,260695.10,243930.40,300836.50,228431.70,239244.50,225398.70,255156.20,128976.00,429348.00,175001.80,108938.60,403956.30,182697.10,239864.50,382645.80,37975.57,147575.50,52376.99,172945.50,432591.50,140054.30,210662.10,225898.20,1809052974.00,134667.00,62564.97,36095.54,110836.40,182575.10,39903.78,146420.20,317553.70,62053.02,249299.20,68844.18,333866.40,535237.70,362481.90,315572.70,380570.80,341533.20,303277.80,157220.60,246358.00,364246.70,217276.60,257198.70,397461.80,296497.70,233936.70,451451.10,159798.70,204716.80
unknown_337.1747_51.98288,112372.20,141262.50,135198.60,6421594.00,275117.30,74177.52,158572.10,9010053.00,97582.04,67583.46,283629.00,1861088348.00,116020.60,71841.45,426164.20,226387.70,114230.90,62602.64,98267.20,38859.76,40323.82,109262.90,101972.60,86357.73,89571.31,266745.40,172807.90,129234.90,472616.20,436136.60,87528.53,1080413.00,1019372.00,58368.87,4830240.00,3548836.00,217597.40,88649.15,179988.10,233215.00,176440.50,100667.70,2660151.00,5041829281.00,173936.00,105886.60,113331.00,291573.80,275563.80,165238.90,62674.03,273240.30,125896.70,39150.83,136592.40,185825.10,83684.73,94065.16,236882.80,96994.63,130214.80,735796.00,185976.40,115940.80,72941.29,171180.80,199318.50,1156033.00,1275337.00,150138.60,1051292.00,1232053.00
unknown_199.0573_19.08279,57110.38,90492.25,138779.90,26244.97,27226.74,337146.30,35620.01,244689.40,104565.80,208462.40,438110.80,222208.10,1295185584.00,39643.41,36425.78,35284.28,65106.46,677432.60,164823.40,219289.00,489238.70,226705.50,105354.30,26911.84,172988.10,75724.37,1303033648.00,40077.62,39627.08,112253.10,349691.70,179845.80,194129.20,242114.60,798725.80,635023.20,43861.80,67327.05,24826.83,62789.94,92883.52,53758.67,134004.80,287560.00,113351.60,223215.70,173817.80,39533.27,48169.23,71065.85,243579.90,39144.47,77825.51,125127.20,385161.50,79311.12,313838.20,204551.60,38745.14,464116.50,242579.70,115016.90,24360.18,137636.90,168567.60,241516.10,269653.00,551119.00,589736.30,390138.10,438723.80,876736.70
